Country,Date,Average_Polarity,Average_Subjectivity,Comparison_To_Happiness_Score
Egypt,2020-12-29 19:56:12.365874,0.080662948,0.307225707,Score is happier
Canada,2020-12-29 19:56:12.365874,0.19219966,0.381570006,Score is not happier
Egypt,2020-12-30 19:26:09.458724,0.23359291100000001,0.451234145,Score is happier
Canada,2020-12-30 19:26:09.458724,0.1710625,0.41899801600000003,Score is not happier
Egypt,2021-01-01 17:24:58.198437,0.15240404,0.36525757600000003,Score is happier
Canada,2021-01-01 17:24:58.198437,0.165004816,0.401518098,Score is not happier
Egypt,2021-01-02 15:04:50.543975,0.12417613599999999,0.333239899,Score is happier
Canada,2021-01-02 15:04:50.543975,0.092035534,0.393885366,Score is not happier
Egypt,2021-01-12 22:03:27.644798,0.09261868699999999,0.32639899,Score is happier
Canada,2021-01-12 22:03:27.644798,0.187743092,0.35956824200000004,Score is not happier
Egypt,2021-01-14 20:16:04.720331,0.0937877825877826,0.32802307198973873,Score is happier
Canada,2021-01-14 20:16:04.720331,0.09319813054009485,0.3800531965058751,Score is not happier
